"","age","Ice"
"1003",25.051,1142.798
"1004",25.076,1145.204
"1005",25.101,1147.615
"1006",25.126,1141.473
"1007",25.151,1135.335
"1008",25.176,1130.626
"1009",25.201,1125.918
"1010",25.226,1137.448
"1011",25.251,1148.978
"1012",25.276,1144.927
"1013",25.301,1140.873
"1014",25.326,1131
"1015",25.351,1121.123
"1016",25.376,1121.334
"1017",25.401,1121.538
"1018",25.426,1136.107
"1019",25.451,1150.667
"1020",25.476,1125.61
"1021",25.501,1100.543
"1022",25.526,1109.255
"1023",25.551,1117.954
"1024",25.576,1107.439
"1025",25.601,1096.91
"1026",25.626,1102.382
"1027",25.651,1107.837
"1028",25.676,1112.507
"1029",25.701,1117.156
"1030",25.726,1112.899
"1031",25.751,1108.621
"1032",25.776,1107.282
"1033",25.801,1105.92
"1034",25.826,1103.327
"1035",25.851,1100.709
"1036",25.876,1106.073
"1037",25.901,1111.41
"1038",25.926,1120.558
"1039",25.951,1129.676
"1040",25.976,1149.516
"1041",26.001,1169.324
"1042",26.026,1155.637
"1043",26.051,1141.918
"1044",26.076,1132.117
"1045",26.101,1122.284
"1046",26.126,1117.796
"1047",26.151,1113.277
"1048",26.176,1114.871
"1049",26.201,1116.435
"1050",26.226,1124.663
"1051",26.251,1132.86
"1052",26.276,1131.265
"1053",26.301,1129.64
"1054",26.326,1119.759
"1055",26.351,1109.85
"1056",26.376,1116.589
"1057",26.401,1123.301
"1058",26.426,1117.699
"1059",26.451,1112.07
"1060",26.476,1101.039
"1061",26.501,1089.982
"1062",26.526,1104.792
"1063",26.551,1119.577
"1064",26.576,1118.648
"1065",26.601,1117.695
"1066",26.626,1099.053
"1067",26.651,1080.389
"1068",26.676,1082.327
"1069",26.701,1084.242
"1070",26.726,1092.168
"1071",26.751,1100.073
"1072",26.776,1097.862
"1073",26.801,1095.629
"1074",26.826,1091.51
"1075",26.851,1087.37
"1076",26.876,1096.924
"1077",26.901,1106.458
"1078",26.926,1108.951
"1079",26.951,1111.424
"1080",26.976,1112.123
"1081",27.001,1112.803
"1082",27.026,1100.848
"1083",27.051,1088.875
"1084",27.076,1081.163
"1085",27.101,1073.434
"1086",27.126,1054.389
"1087",27.151,1035.327
"1088",27.176,1026.234
"1089",27.201,1017.126
"1090",27.226,1003.614
"1091",27.251,990.0879
"1092",27.276,986.2029
"1093",27.301,982.3046
"1094",27.326,969.5065
"1095",27.351,956.696
"1096",27.376,1008.165
"1097",27.401,1059.623
"1098",27.426,1063.783
"1099",27.451,1067.933
"1100",27.476,1067.464
"1101",27.501,1066.986
"1102",27.526,1065.73
"1103",27.551,1064.466
"1104",27.576,1073.725
"1105",27.601,1082.977
"1106",27.626,1074.338
"1107",27.651,1065.691
"1108",27.676,1068.229
"1109",27.701,1070.761
"1110",27.726,1063.302
"1111",27.751,1055.839
"1112",27.776,1055.283
"1113",27.801,1054.722
"1114",27.826,1056.681
"1115",27.851,1058.636
"1116",27.876,1048.959
"1117",27.901,1039.279
"1118",27.926,1048.028
"1119",27.951,1056.776
"1120",27.976,1042.922
"1121",28.001,1029.067
"1122",28.026,1029.474
"1123",28.051,1029.881
"1124",28.076,1033.69
"1125",28.101,1037.5
"1126",28.126,1023.976
"1127",28.151,1010.455
"1128",28.176,1009.113
"1129",28.201,1007.774
"1130",28.226,977.0354
"1131",28.251,946.2999
"1132",28.276,941.8993
"1133",28.301,937.5031
"1134",28.326,937.1709
"1135",28.351,936.8439
"1136",28.376,934.2185
"1137",28.401,931.599
"1138",28.426,915.2718
"1139",28.451,898.9515
"1140",28.476,910.6152
"1141",28.501,922.2865
"1142",28.526,945.5956
"1143",28.551,968.9131
"1144",28.576,979.4032
"1145",28.601,989.9027
"1146",28.626,996.7914
